Student ID,Outcome,Reason,Job Seeking,Previous Salary,New Salary,Salary Delta,Filtered New Salary,Filtered Salary Delta,Delta when Below 60K,Repeated a Module,Filtered Repeated,,Gender Identity,Filtered Gender,Racial Identity,Filtered Racial,,Veteran Status,Filtered Veteran,,Highest Degree,Filtered W/O Degree,,Job Hunt Length,Filtered Job Hunt,,Job Title,Filtered Job Title
577,finished,employed,Yes,"$40,000","$70,000","$30,000",,,"$30,000",None,,,Female,,White,,,No,,,Bachelor's degree,,,Did not graduate,,,Junior Software Engineer,
586,graduated,,Yes,"$60,000","$65,000","$5,000","$65,000","$5,000",,None,None,,Female,Female,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,I received an offer before graduation,I received an offer before graduation,,Software Developer,Software Developer
588,graduated,,Yes,"$30,000","$90,000","$60,000","$90,000","$60,000","$60,000",None,None,,Female,Female,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,31-60 days,31-60 days,,Junior Rubyist,Junior Rubyist
603,graduated,,Yes,"$40,000","$75,000","$35,000","$75,000","$35,000","$35,000",None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,31-60 days,31-60 days,,Junior Rails Developer,Junior Rails Developer
610,graduated,,Yes,"$40,000",,,,,,Repeated one module,Repeated one module,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,Exempt,Exempt,,,
612,graduated,,Yes,"$32,000","$73,000","$41,000","$73,000","$41,000","$41,000",None,None,,Male,Male,White,White,,No,No,,Some additional training; incomplete degree or certification,Some additional training; incomplete degree or certification,,0-30 days,0-30 days,,Developer,Developer
614,graduated,,Yes,"$40,000","$65,000","$25,000","$65,000","$25,000","$25,000",Repeated one module,Repeated one module,,Male,Male,"White, Native American or American indian","White, Native American or American indian",,No,No,,Bachelor's degree,Bachelor's degree,,61-90 days,61-90 days,,Software Engineer,Software Engineer
617,did not finish,employed,Yes,"$30,000","$68,640","$38,640",,,"$38,640",None,,,Male,,White,,,No,,,High School Diploma or equivalent,,,I received an offer before graduation,,,Junior Software Engineer,
624,did not finish,academic drop out,,,,,,,,,,,Male,,Hispanic or Latino,,,,,,,,,,,,,
631,graduated,,Yes,"$50,000","$75,000","$25,000","$75,000","$25,000","$25,000",None,None,,Female,Female,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,I received an offer before graduation,I received an offer before graduation,,Software Engineer,Software Engineer
632,graduated,,Yes,$0,"$90,000","$90,000","$90,000","$90,000","$90,000",None,None,,Male,Male,Hispanic or Latino,Hispanic or Latino,,No,No,,Some additional training; incomplete degree or certification,Some additional training; incomplete degree or certification,,I received an offer before graduation,I received an offer before graduation,,Junior Dev (Web and Mobile),Junior Dev (Web and Mobile)
639,graduated,,Yes,"$25,000","$70,000","$45,000","$70,000","$45,000","$45,000",None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,61-90 days,61-90 days,,Software Engineer,Software Engineer
643,graduated,,Yes,"$68,000","$75,000","$7,000","$75,000","$7,000",,None,None,,Female,Female,Black or African American,Black or African American,,No,No,,Bachelor's degree,Bachelor's degree,,0-30 days,0-30 days,,Developer,Developer
647,did not finish,early drop / bad fit,,,,,,,,,,,Male,,White,,,,,,,,,,,,,
650,graduated,,Yes,"$50,000","$90,000","$40,000","$90,000","$40,000","$40,000",None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,0-30 days,0-30 days,,Software Engineer,Software Engineer
651,graduated,,Yes,$0,"$73,000","$73,000","$73,000","$73,000","$73,000",None,None,,Female,Female,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,0-30 days,0-30 days,,Software Developer,Software Developer
660,graduated,,Yes,"$32,000","$65,000","$33,000","$65,000","$33,000","$33,000",None,None,,Female,Female,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,I received an offer before graduation,I received an offer before graduation,,Software Developer,Software Developer
693,graduated,,Yes,"$35,000","$70,000","$35,000","$70,000","$35,000","$35,000",None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,120+ days,120+ days,,QA Engineer,QA Engineer
694,did not finish,early drop / bad fit,,,,,,,,,,,Male,,White,,,,,,,,,,,,,
700,graduated,,Yes,"$110,000","$51,000","-$59,000","$51,000","-$59,000",,None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,31-60 days,31-60 days,,Software Developer,Software Developer
701,finished,academic drop out,Yes,"$6,433",,,,,,None,,,Male,,White,,,No,,,Bachelor's degree,,,Did not graduate,,,Web designer / developer,
707,graduated,,Yes,"$55,000","$85,000","$30,000","$85,000","$30,000","$30,000",None,None,,Male,Male,Asian/Pacific Islander,Asian/Pacific Islander,,No,No,,Bachelor's degree,Bachelor's degree,,I received an offer before graduation,I received an offer before graduation,,Software Developer,Software Developer
732,did not finish,elective drop out,Yes,,,,,,,,,,Male,,White,,,,,,,,,,,,,
742,graduated,,Yes,"$65,000",,,,,,Repeated more than one module,Repeated more than one module,,Male,Male,White,White,,Yes,Yes,,Some additional training; incomplete degree or certification,Some additional training; incomplete degree or certification,,31-60 days,31-60 days,,Junior Developer,Junior Developer
770,did not finish,early drop / bad fit,,,,,,,,,,,Male,,White,,,,,,,,,,,,,
774,graduated,,Yes,"$63,500","$70,000","$6,500","$70,000","$6,500",,None,None,,Male,Male,White,White,,No,No,,Master's degree,Master's degree,,31-60 days,31-60 days,,Site Content Engineer,Site Content Engineer
777,graduated,,Yes,$0,"$95,000","$95,000","$95,000","$95,000","$95,000",None,None,,Male,Male,White,White,,No,No,,Some additional training; incomplete degree or certification,Some additional training; incomplete degree or certification,,90-120 days,90-120 days,,Frontend Software Developer,Frontend Software Developer
789,graduated,,Yes,"$23,000","$70,000","$47,000","$70,000","$47,000","$47,000",None,None,,Male,Male,White,White,,No,No,,Some additional training; incomplete degree or certification,Some additional training; incomplete degree or certification,,I received an offer before graduation,I received an offer before graduation,,Assistant Instructor,Assistant Instructor
793,graduated,,Yes,"$42,000","$80,000","$38,000","$80,000","$38,000","$38,000",None,None,,Male,Male,Asian/Pacific Islander,Asian/Pacific Islander,,No,No,,Bachelor's degree,Bachelor's degree,,61-90 days,61-90 days,,Software Developer,Software Developer
801,graduated,,Yes,"$150,000","$80,000","-$70,000","$80,000","-$70,000",,Repeated more than one module,Repeated more than one module,,Male,Male,Asian/Pacific Islander,Asian/Pacific Islander,,Yes,Yes,,Master's degree,Master's degree,,0-30 days,0-30 days,,Associate Software Engineer,Associate Software Engineer
